 1	 1
 2	 1
 3	 1
 4	 1
 5	 1
 6	 1
 7	 1
 8	 2
 9	 2
10	 2
11	 2
12	 2
13	 2
14	 2
15	 2
16	 3
17	 3
18	 3
19	 3
20	 3
21	 3
22	 3
23	 3
24	 4
25	 4
26	 4
27	 5
28	 5
29	 5
30	 5
31	 5
32	 6
33	 6
34	 6
35	 7
36	 7
37	 7
38	 7
39	 7
40	 8
41	 8
42	 8
43	 9
44	 9
45	 9
46	 9
47	 9
48	10
49	10
50	10
51	11
52	11
53	11
54	12
55	12
56	13
57	13
58	13
59	14
60	14
61	14
62	15
63	15
64	17
65	17
66	17
67	18
68	18
69	18
70	19
71	19
72	21
73	21
74	21
75	22
76	22
77	22
78	23
79	23
80	25
81	26
82	26
83	27
84	27
85	27
86	28
87	28
88	30
89	31
90	31
91	33
92	33
93	33
94	34
95	34
96	36
97	37
98	37
99	39
100	39
